# Pairs Trading Analytics Export
# Pair: BTCUSDT / ETHUSDT
# Timeframe: 1m
# Export Date: 2025-11-24 00:49:12
# Total Data Points: 100
#
# === CALCULATION FORMULAS ===
# Hedge Ratio (β): Calculated using OLS regression: BTCUSDT = α + β × ETHUSDT
# Hedge Ratio Value: 2.129761
# R-Squared: 0.026781
#
# Spread = Price_BTCUSDT - (Hedge_Ratio × Price_ETHUSDT)
# Z-Score = (Spread - Rolling_Mean) / Rolling_StdDev
# Correlation = Rolling correlation between BTCUSDT and ETHUSDT prices
# Signal: 1 = LONG, -1 = SHORT, 0 = NEUTRAL/EXIT
#
# === TRADING LOGIC ===
# LONG Signal: Z-Score < -2.0 (Spread abnormally low)
# SHORT Signal: Z-Score > +2.0 (Spread abnormally high)
# EXIT Signal: |Z-Score| < 0.5 (Spread near mean)
#
time,price_btcusdt,price_ethusdt,spread,zscore,correlation,trading_signal,hedge_ratio
2025-11-23 15:39:00,86955.6,2833.0,80921.98837348426,2.0352876850271104,0.9322062425553691,-1,2.129760545893312
2025-11-23 15:40:00,86981.2,2834.95,80943.43534041975,1.9326972013926642,0.9463663314824425,0,2.129760545893312
2025-11-23 15:41:00,86980.7,2835.08,80942.65847154878,1.7177271103732576,0.9583852020751873,0,2.129760545893312
2025-11-23 15:42:00,86983.0,2834.59,80946.00205421628,1.5634013613296134,0.9690096858886844,0,2.129760545893312
2025-11-23 15:43:00,86967.5,2833.75,80932.29105307482,1.3566362568487893,0.9777943715612482,0,2.129760545893312
2025-11-23 15:47:00,86982.5,2831.23,80952.65804965048,1.3302523468603635,0.9800152648517724,0,2.129760545893312
2025-11-23 15:48:00,86958.5,2831.79,80927.46538374478,1.0822640898809595,0.9858799529403649,0,2.129760545893312
2025-11-23 15:49:00,86926.4,2831.59,80895.79133585395,0.8214381140572572,0.9919795349128737,0,2.129760545893312
2025-11-23 15:50:00,86892.0,2830.5,80863.71277484897,0.5690931392350574,0.9932722851563722,0,2.129760545893312
2025-11-23 16:08:00,87310.2,2839.04,81263.72461978706,2.410379090738503,0.9680206019615333,-1,2.129760545893312
2025-11-23 16:09:00,87232.5,2835.64,81193.2658056431,1.828102083101535,0.9482737179691677,0,2.129760545893312
2025-11-23 16:10:00,87211.4,2834.88,81173.78442365795,1.557281363469894,0.9334437498554529,0,2.129760545893312
2025-11-23 17:07:00,86768.7,2798.22,80809.16144527041,-0.40331891085014093,0.7701172519028024,0,2.129760545893312
2025-11-23 17:08:00,86727.7,2796.49,80771.8459310148,-0.656445836708588,0.7229679993949192,0,2.129760545893312
2025-11-23 17:09:00,86668.9,2795.02,80716.17667901727,-0.9707846142887481,0.736816262004356,0,2.129760545893312
2025-11-23 17:10:00,86615.8,2793.72,80665.84536772694,-1.2765297613008084,0.7753938239114659,0,2.129760545893312
2025-11-23 17:11:00,86679.9,2797.65,80721.57540878157,-0.984880699707501,0.803943608495183,0,2.129760545893312
2025-11-23 17:12:00,86721.4,2799.01,80760.17893443916,-0.818991301344827,0.833026193837074,0,2.129760545893312
2025-11-23 17:13:00,86699.5,2798.48,80739.40770752849,-1.0055273630785297,0.8715500005297904,0,2.129760545893312
2025-11-23 17:14:00,86666.1,2795.67,80711.99233466246,-1.0814512108310543,0.8856962688065292,0,2.129760545893312
2025-11-23 17:15:00,86656.0,2794.75,80703.85171436466,-1.0337703953253203,0.8970465016806315,0,2.129760545893312
2025-11-23 17:17:00,86613.5,2789.36,80672.83112370703,-1.1005796937112358,0.9076497294113927,0,2.129760545893312
2025-11-23 17:18:00,86592.8,2787.42,80656.26285916606,-1.0818324461597322,0.9175953676619467,0,2.129760545893312
2025-11-23 17:19:00,86632.9,2789.66,80691.59219554326,-0.8095242155689537,0.9238145318619383,0,2.129760545893312
2025-11-23 17:20:00,86682.9,2792.33,80735.90573488572,-0.5162177643852132,0.9295162092537507,0,2.129760545893312
2025-11-23 17:21:00,86555.9,2787.81,80618.53225255317,-1.0408383552039122,0.9344544412725562,0,2.129760545893312
2025-11-23 17:22:00,86630.7,2790.34,80687.94395837205,-0.6086798072903076,0.9427030580002521,0,2.129760545893312
